num_heads_removed,mean_kl_div,order_type
0,0.0,syn_red
16,0.017010049040739734,syn_red
32,0.03629642299880895,syn_red
48,0.04974861975836878,syn_red
64,0.07344366369846587,syn_red
80,0.10206865332244584,syn_red
96,0.12813964334782213,syn_red
112,0.1649591012392193,syn_red
128,0.19656881604654095,syn_red
144,0.2490432366884003,syn_red
160,0.3057038136447469,syn_red
176,0.3453517832327634,syn_red
192,0.42354737274969617,syn_red
208,0.4754955966336032,syn_red
224,0.4578751399492224,syn_red
240,0.47528338398163517,syn_red
256,0.5359260712439815,syn_red
272,0.5850937620426218,syn_red
288,0.6697523028589785,syn_red
304,0.6965038371582826,syn_red
320,0.7270440366119146,syn_red
336,0.7781522607430815,syn_red
352,0.8224195870260398,syn_red
368,0.8621542782833179,syn_red
384,0.8403532003983856,syn_red
400,0.9563107332835595,syn_red
416,0.9624387816215555,syn_red
432,1.0005768017843366,syn_red
448,1.0553940359503031,syn_red
464,1.1077998340129853,syn_red
480,1.1075269259512424,syn_red
496,1.153860974063476,syn_red
512,1.1956966197739045,syn_red
528,1.2543345489849647,syn_red
544,1.3451834286252657,syn_red
560,1.4873320835332076,syn_red
576,1.5411513263980547,syn_red
592,1.7681643143296242,syn_red
608,1.9512037605047226,syn_red
624,2.3145077459514143,syn_red
640,2.651147067050139,syn_red
656,2.857895500957966,syn_red
672,3.0497325231631596,syn_red
688,3.0970068673292794,syn_red
704,2.748602905869484,syn_red
720,2.779193305969238,syn_red
736,2.949472336967786,syn_red
752,3.0553850730260215,syn_red
768,3.1613939891258878,syn_red
784,3.375164604187012,syn_red
800,3.9325562914212546,syn_red
816,3.9081225395202637,syn_red
832,4.220880305767059,syn_red
848,4.759730799992879,syn_red
864,5.373780326048533,syn_red
880,4.960018841425578,syn_red
896,5.204974706967672,syn_red
912,5.446222833792368,syn_red
928,5.810908540089925,syn_red
944,5.769994552930196,syn_red
960,5.670076231161754,syn_red
976,6.058312137921651,syn_red
992,6.713314048449198,syn_red
1008,6.900191402435302,syn_red
1024,7.60742088953654,syn_red
1040,9.006265465418497,syn_red
1056,9.663693507512411,syn_red
1072,11.902236207326252,syn_red
1088,11.72253623008728,syn_red
1104,11.752246729532878,syn_red
1120,12.910486745834351,syn_red
1136,14.80628581047058,syn_red
1152,15.0418466091156,syn_red
0,0.0,random_0
16,0.02057003909139894,random_0
32,0.035128634275558096,random_0
48,0.05734308127624293,random_0
64,0.08412075187079608,random_0
80,0.1299369563969473,random_0
96,0.1355511024283866,random_0
112,0.16759824409770469,random_0
128,0.20395371935640771,random_0
144,0.2662198521507283,random_0
160,0.29719100911170243,random_0
176,0.3221130548045039,random_0
192,0.3826686310271422,random_0
208,0.42842693304022156,random_0
224,0.45168621335178616,random_0
240,0.4019332890709241,random_0
256,0.4527626915524403,random_0
272,0.4761705515285333,random_0
288,0.5023175105452538,random_0
304,0.5732992415626844,random_0
320,0.5891078228751818,random_0
336,0.6046970538794995,random_0
352,0.6410476153095563,random_0
368,0.6745906072358291,random_0
384,0.6654305222133795,random_0
400,0.7032136877377828,random_0
416,0.8181396774947644,random_0
432,0.9162832433978717,random_0
448,0.9223674103617668,random_0
464,1.0753151953220368,random_0
480,1.1359321743249893,random_0
496,1.1807738443215687,random_0
512,1.255752018094063,random_0
528,1.3953750858704248,random_0
544,1.4987164596716562,random_0
560,1.6000761757294337,random_0
576,1.6483047197262446,random_0
592,1.7487610032161076,random_0
608,1.8926242212454478,random_0
624,1.9656211098035177,random_0
640,2.027140764395396,random_0
656,2.261485880613327,random_0
672,2.674290664990743,random_0
688,2.8526698211828867,random_0
704,3.7910869201024373,random_0
720,3.9441097259521483,random_0
736,4.235045496622721,random_0
752,4.6315239270528155,random_0
768,5.339367508888245,random_0
784,5.164828022321065,random_0
800,5.294416046142578,random_0
816,5.203451577822367,random_0
832,5.723960451285044,random_0
848,6.503143151601155,random_0
864,6.781077527999878,random_0
880,6.851606718699137,random_0
896,6.323084704081217,random_0
912,6.642154614130656,random_0
928,7.224432595570883,random_0
944,7.579734428723653,random_0
960,8.339760295550029,random_0
976,8.776633445421854,random_0
992,9.31188534895579,random_0
1008,9.78924724260966,random_0
1024,10.81046797434489,random_0
1040,10.41218932469686,random_0
1056,10.177670168876649,random_0
1072,10.726687781016032,random_0
1088,11.329842344919841,random_0
