head_idx,layer,head_in_layer,avg_synergy,avg_redundancy,syn_rank,red_rank,syn_red_score
58,7,2,0.010528100149550176,0.0020090064494707287,43,48,0.5004995004995005
59,7,3,0.00551901556274175,0.0013418966431254962,22,29,0.4985014985014985
60,7,4,0.009354638658634512,0.0023216384701317495,35,67,0.47352647352647353
61,7,5,0.03678996765933067,0.02317691076154557,178,612,0.07192807192807193
62,7,6,0.04595553839078019,0.010753198056842567,238,360,0.3836163836163836
63,7,7,0.043430456047620886,0.020702182118621546,222,576,0.15184815184815184
64,8,0,0.009997255153687065,0.0006046678442144859,41,20,0.5264735264735265
65,8,1,0.01864413922023973,0.002397970461107932,87,68,0.5244755244755245
66,8,2,0.1066692957604206,0.01244740970953431,757,404,0.8581418581418582
67,8,3,0.008625073071578518,0.0015453637501814828,32,34,0.5034965034965035
68,8,4,0.04629952542504477,0.00781349335247876,241,267,0.47952047952047955
69,8,5,0.0938547195555504,0.008114224391568529,717,278,0.9440559440559441
70,8,6,0.10825229276858202,0.025884001106050214,758,652,0.6113886113886113
71,8,7,0.10991453740209382,0.032585328679330124,762,723,0.5444555444555444
72,9,0,0.12034171862865475,0.010620352431654894,768,357,0.916083916083916
73,9,1,0.0845185227060641,0.009851593698643888,649,328,0.8261738261738262
74,9,2,0.0,0.0,5,5,0.5054945054945055
75,9,3,0.0,0.0,6,6,0.5054945054945055
76,9,4,0.023164235942219107,0.0029031556318314293,105,82,0.5284715284715285
77,9,5,0.04257145641894474,0.014283728510322568,213,454,0.2647352647352647
78,9,6,0.0,0.0,7,7,0.5054945054945055
79,9,7,1.9241247530334043e-05,1.5303814913821479e-06,12,12,0.5054945054945055
80,10,0,0.10061379311234421,0.034056398860802986,741,743,0.5034965034965035
81,10,1,0.08210494221514292,0.03647570889693571,623,756,0.3726273726273726
82,10,2,0.0398639335888342,0.030386430751033845,200,706,0.0
83,10,3,0.05125548998488477,0.02932133174743865,276,694,0.08791208791208792
84,10,4,0.024636587498758526,0.003631998542893919,109,109,0.5054945054945055
85,10,5,0.0,0.0,8,8,0.5054945054945055
86,10,6,0.060240051397481356,0.021609129136722322,370,591,0.28471528471528473
87,10,7,0.04308223502565553,0.01745059871173553,218,525,0.19880119880119881
88,11,0,0.07174519320285001,0.03778658475340254,516,761,0.26073926073926074
89,11,1,0.06265257777680891,0.030858860944829522,397,711,0.1918081918081918
90,11,2,0.11197642015296769,0.024325351592575553,764,635,0.6343656343656343
91,11,3,0.09944072301969221,0.02321236320551193,735,613,0.6273726273726273
92,11,4,0.08463785139519593,0.010254994513906327,653,344,0.8141858141858141
93,11,5,0.08953075949542214,0.015109365964330986,695,473,0.7272727272727273
94,11,6,0.05713095616436387,0.015153172786923274,330,474,0.36163836163836166
95,11,7,0.00047400413117027097,3.0495744467538528e-05,15,15,0.5054945054945055
96,12,0,0.03247944376337277,0.009458710621911117,152,316,0.34165834165834164
97,12,1,0.012554816789037774,0.003771076041232519,55,115,0.44555444555444557
98,12,2,0.056148046542595254,0.026734664886418597,320,666,0.15984015984015984
99,12,3,0.029924747725089657,0.01979919221986227,138,558,0.08591408591408592
100,12,4,0.0384038719873629,0.005012612729216366,190,175,0.5204795204795205
101,12,5,0.0032802521741945975,0.0005423769252272264,17,19,0.5034965034965035
102,12,6,0.005429627340839242,0.00020253611390941002,20,16,0.5094905094905094
103,12,7,0.04992813929139541,0.026589188537539707,270,665,0.1108891108891109
104,13,0,0.039933299290156835,0.021595714039149755,201,590,0.11688311688311688
105,13,1,0.009807028896728956,0.0018393899545473787,39,42,0.5024975024975025
106,13,2,0.01849666395447659,0.010218174435439568,85,340,0.25074925074925075
107,13,3,0.034359165583402004,0.010897582685208242,163,364,0.3046953046953047
108,13,4,0.03910253596979129,0.01810045610958168,196,533,0.16883116883116883
109,13,5,0.042054109622473954,0.014664465893011378,209,463,0.2517482517482518
110,13,6,0.00840346492304815,0.0022123748213754325,30,64,0.47152847152847155
111,13,7,0.07003764977389541,0.009636481983225647,492,322,0.6753246753246753
112,14,0,0.046900827386878764,0.024452593282379823,248,638,0.11588411588411589
113,14,1,0.018266082347518482,0.00885824439396118,84,300,0.2897102897102897
114,14,2,0.0,0.0,9,9,0.5054945054945055
115,14,3,0.0,0.0,10,10,0.5054945054945055
116,14,4,0.02710392440414498,0.002660357330186153,129,79,0.5554445554445554
117,14,5,0.07886472005942474,0.027002655261373118,588,670,0.42357642357642356
118,14,6,0.03821246821245622,0.01426595970470897,188,452,0.24175824175824176
119,14,7,0.026622565181336797,0.005854499259197013,126,206,0.4255744255744256
120,15,0,0.05639044514727568,0.024442468052784414,323,637,0.1918081918081918
121,15,1,0.06343795801655669,0.011969709417263441,406,389,0.5224775224775224
122,15,2,0.03764408739634453,0.0037790248847035897,183,117,0.5714285714285714
123,15,3,0.052189529721543004,0.028045349173967796,287,676,0.11688311688311688
124,15,4,0.01899612964974087,0.0029888030217481887,90,86,0.5094905094905094
125,15,5,0.051722107678125344,0.004280695975837463,281,140,0.6463536463536463
126,15,6,0.04637488356773529,0.006464854862078794,243,231,0.5174825174825175
127,15,7,0.031288145756840614,0.003924398595182193,147,125,0.5274725274725275
128,16,0,0.021648457102876852,0.004773386790084315,102,161,0.44655344655344653
129,16,1,0.019155547458663442,0.004751427761303029,91,159,0.43756243756243757
130,16,2,0.06005012544859694,0.03169378914682914,364,715,0.15484515484515485
131,16,3,0.036619096303244794,0.0037473195982423166,176,113,0.5684315684315684
132,16,4,0.06534974688979496,0.013277552808421992,429,423,0.5114885114885115
133,16,5,0.018831525358469704,0.0022599347300882216,88,65,0.5284715284715285
134,16,6,0.07073410956866126,0.02826694500539615,503,678,0.3306693306693307
135,16,7,0.06000996415188833,0.00738077916732552,363,255,0.6133866133866134
136,17,0,0.05824140182042716,0.02329062817037785,340,614,0.23176823176823177
137,17,1,0.07995386448394652,0.012134448762897656,597,394,0.7082917082917083
138,17,2,0.07786985366725688,0.012121281600220092,580,393,0.6923076923076923
