head_idx,layer,head_in_layer,pair_balance_score,syn_red_score
187,23,3,0.8045359424943028,0.18037726137760537
188,23,4,0.8410180919397993,0.4861557531054247
189,23,5,0.7854728151338186,0.020597905706341207
190,23,6,0.8342121129146324,0.4291108137946021
191,23,7,0.8544539182085025,0.5987693669962105
192,24,0,0.8279015507788731,0.37621825671788706
193,24,1,0.8348918633836154,0.43480820488356314
194,24,2,0.9023243744745527,1.0
195,24,3,0.8271994442137488,0.3703334859524847
196,24,4,0.8436359159685879,0.508097286027648
197,24,5,0.8397727518402754,0.47571782049705497
198,24,6,0.8259693115705933,0.3600230160386654
199,24,7,0.8668875276966909,0.702982808742864
200,25,0,0.8083885030106218,0.21266785175880323
201,25,1,0.8488264735546069,0.5516024219366624
202,25,2,0.8568792811227097,0.6190977693812414
203,25,3,0.8648465150771524,0.685875873710642
204,25,4,0.7866551685357542,0.030507909514457303
205,25,5,0.8266577162277701,0.36579294300210835
206,25,6,0.8435874106908092,0.5076907345797362
207,25,7,0.8551882742249363,0.6049244395045299
208,26,0,0.8390932978876515,0.47002291468723584
209,26,1,0.8062188550781118,0.19448274801719223
210,26,2,0.8355269820029134,0.4401315100185123
211,26,3,0.8492800515745128,0.5554041278371031
212,26,4,0.8648050695306769,0.6855284940501033
213,26,5,0.8102555353989621,0.22831655547804527
214,26,6,0.8249587062092255,0.3515525342324123
215,26,7,0.8219616482504418,0.32643241723856936
216,27,0,0.8355638953700644,0.440440902801108
217,27,1,0.8201154122901262,0.31095802069396916
218,27,2,0.8349232771197193,0.43507150200260253
219,27,3,0.8762102524082339,0.7811220835503468
220,27,4,0.8628909897349232,0.6694854581575312
221,27,5,0.8272736764158962,0.370955669983724
222,27,6,0.8082071673999387,0.21114797065601718
223,27,7,0.8494415616432841,0.5567578393365181
224,28,0,0.7830152980272463,0.0
225,28,1,0.8286848548048016,0.38278359147072516
226,28,2,0.8526067235911677,0.5832869353796138
227,28,3,0.8572800279491475,0.6224566657734597
228,28,4,0.8495969941752729,0.5580606114022917
229,28,5,0.845136678256181,0.52067606320271
230,28,6,0.8673155771215768,0.7065705443756597
231,28,7,0.8341462111953634,0.4285584524719653
232,29,0,0.8162704248036196,0.2787309043588193
233,29,1,0.8134446837861843,0.255046696069073
234,29,2,0.8300538999994406,0.3942583697139683
235,29,3,0.8308965326710334,0.40132097296833974
236,29,4,0.8472535566251586,0.5384188739930734
237,29,5,0.8213583935673127,0.3213761826159202
238,29,6,0.7992797570226601,0.1363220593078435
239,29,7,0.8186232036869289,0.2984509370115608
240,30,0,0.8531158950342193,0.5875546026704288
241,30,1,0.8628278924570635,0.6689566025185594
242,30,2,0.8233360803177374,0.3379523460505455
243,30,3,0.8134183777491347,0.2548262095995362
244,30,4,0.8420225199590463,0.49457445895041263
245,30,5,0.8070980719737095,0.20185198531060208
246,30,6,0.7964485830820847,0.11259231447300001
247,30,7,0.7884736645668093,0.04574980129004452
248,31,0,0.8322709874943006,0.41284109251158585
249,31,1,0.8039218746692528,0.17523039541119895
250,31,2,0.8486821204016549,0.5503925127055254
251,31,3,0.8224197891773616,0.3302723675639086
252,31,4,0.8103336956098974,0.2289716624762948
253,31,5,0.8288714002710288,0.3843471394570311
254,31,6,0.8376946848226096,0.4583003106181341
255,31,7,0.8102104114787598,0.22793834518972564
256,32,0,0.876220562254979,0.7812084964792883
257,32,1,0.8692856044234459,0.7230825094375903
258,32,2,0.8972332845366426,0.9573285613340693
259,32,3,0.8271446437203278,0.3698741705755427
260,32,4,0.8313507696084169,0.4051282016462364
261,32,5,0.8212319501270718,0.320316385289464
262,32,6,0.8094828666545085,0.22184036131527476
263,32,7,0.8433468520628675,0.5056744703096164
264,33,0,0.8532542057086142,0.588713866311666
265,33,1,0.8182514798486267,0.2953352994643506
266,33,2,0.8422362561057398,0.49636590812643494
267,33,3,0.796608307228839,0.11393105710273532
268,33,4,0.8502721515014637,0.5637195046423967
269,33,5,0.8459783182072388,0.5277303458785927
270,33,6,0.8167717595582836,0.28293288772498415
271,33,7,0.8490564244591121,0.5535297765969487
