head_idx,layer,head_in_layer,avg_synergy,avg_redundancy,syn_rank,red_rank,syn_red_score
101,12,5,0.049938141560628244,0.00976169206642785,50,47,0.5161290322580645
102,12,6,0.04842486314239488,0.016876548922799526,47,90,0.021505376344086023
103,12,7,0.032424937576882924,0.006577607991290029,22,28,0.41935483870967744
104,13,0,0.07438739231380187,0.017180219944333438,78,92,0.3333333333333333
105,13,1,0.030060488355722625,0.007827461412899197,15,35,0.26881720430107525
106,13,2,0.043710782276165615,0.0075315415491871065,43,33,0.5913978494623656
107,13,3,0.04436691983414213,0.010885333029500942,44,59,0.3225806451612903
108,13,4,0.03671375317052515,0.006656278872041207,29,30,0.4731182795698925
109,13,5,0.03258970666823377,0.007140540410364743,23,32,0.3870967741935484
110,13,6,0.02953164230459874,0.008558617195185754,13,39,0.20430107526881722
111,13,7,0.028228499645179927,0.004794373535116201,9,7,0.5053763440860215
112,14,0,0.032025770152575087,0.0063870650470280585,20,24,0.44086021505376344
113,14,1,0.061629083360463695,0.009910611612752735,62,49,0.6236559139784946
114,14,2,0.03710458420956665,0.011629729841561597,32,68,0.0967741935483871
115,14,3,0.06061426596840715,0.007943435796524864,61,36,0.7526881720430108
116,14,4,0.06968603813164356,0.008962697265681465,72,44,0.7849462365591398
117,14,5,0.031218789257783295,0.0052698742955043,17,12,0.5376344086021505
118,14,6,0.040293844285169855,0.01007633003645822,36,51,0.3225806451612903
119,14,7,0.050841557169930836,0.007986476274231064,51,37,0.6344086021505376
120,15,0,0.029029052788670465,0.006470897845375853,12,27,0.3225806451612903
121,15,1,0.029949325896657823,0.005630412108236439,14,15,0.4731182795698925
122,15,2,0.03197469790679126,0.006069630405744714,19,20,0.4731182795698925
123,15,3,0.07041922503938639,0.012093832542611593,76,71,0.5376344086021505
124,15,4,0.051090649473089465,0.015422372888578936,52,83,0.15053763440860216
125,15,5,0.023782258044403617,0.0038684691707683745,3,2,0.4946236559139785
126,15,6,0.04345485395174243,0.0086390838672942,42,40,0.5053763440860215
127,15,7,0.0261415220648242,0.00476278162856578,8,6,0.5053763440860215
