head_idx,layer,head_in_layer,avg_synergy,avg_redundancy,syn_balance,syn_red_score
0,0,0,0.2853368105320825,0.02307544285529706,0.8948138803407593,0.7356528241916312
1,0,1,0.0026294272741566554,0.000926154400156012,0.7377148955116981,0.28758545930422846
2,0,2,0.1714576961343559,0.009466558338307245,0.9241409265409456,0.8192974914385057
3,0,3,0.017989405795029643,0.003387058647477356,0.8201086491565716,0.5225834901254369
4,0,4,0.18546211058855513,0.010116074470843534,0.9089483982484844,0.7759663640898002
5,0,5,0.08817134625398823,0.005115319156770494,0.9143459637908675,0.7913609445959326
6,0,6,0.05234237573242071,0.004899818982648363,0.8888658138804577,0.7186881412693171
7,0,7,0.036987002778260565,0.004373410840915582,0.8627539434251322,0.6442135862622971
8,1,0,0.021910683489284346,0.0012570978659864002,0.9214317385278772,0.8115705240407155
9,1,1,0.2855907087273569,0.02590836606619187,0.8906952190760278,0.7239058501309136
10,1,2,0.029776210780051004,0.001148080797914373,0.9511042181489187,0.896200413711497
11,1,3,0.02188239317594696,0.0016707165133234188,0.9029041654876109,0.7587274019865281
12,1,4,0.0002020522024964334,9.314300801928497e-05,0.6368832187399543,0.0
13,1,5,0.06163481111456769,0.0037576011206086495,0.9270320125440231,0.8275432562884271
14,1,6,0.27704781942834056,0.02061442491557412,0.9024350911863422,0.7573895391968065
15,1,7,0.005275801219807076,0.0018753696705995125,0.7395894268094259,0.2929318738586302
16,2,0,0.09378542644370218,0.0030025221704322895,0.9504660502039393,0.8943802731817942
17,2,1,0.1360472154132197,0.004602448929984167,0.9371239345575657,0.8563267707597486
18,2,2,0.1121483019754667,0.0008164718074435721,0.9874978743476873,1.0
19,2,3,0.06878969933744006,0.0034806184050238144,0.9321318367651492,0.8420886386321468
20,2,4,0.14659279516871374,0.005941994589958234,0.9386433815454569,0.8606604372611032
21,2,5,0.21695035030595738,0.005826099603041224,0.9491350972185271,0.8905842168443738
22,2,6,0.08490906142236879,0.00543031096892087,0.9130216893467213,0.7875839363535054
23,2,7,0.012315557815450061,0.003081961985227002,0.7789367042889002,0.4051555839921164
24,3,0,0.27777889064024147,0.011081885880007561,0.9219919810614037,0.8131684108505393
25,3,1,0.24957356386042495,0.0026381600301954833,0.978376307370068,0.9739840681736233
26,3,2,0.20554142252312085,0.006760618083630951,0.9496180132996502,0.8919615582458225
27,3,3,0.15463012881804858,0.0038109953900414776,0.958124788041016,0.9162240201974503
28,3,4,0.14511701055760573,0.004063924340186629,0.9546549549869047,0.9063275911731219
29,3,5,0.02674507839460734,0.0030032658369771445,0.8721754956734593,0.6710851162957362
30,3,6,0.13607720347412305,0.00421453118430016,0.947238622289759,0.8851752161125566
31,3,7,0.018266948102716646,0.0022124475185727535,0.8618034296549201,0.6415025935670129
32,4,0,0.12474020767736142,0.005926095908688989,0.9399889765719451,0.8644982546625345
33,4,1,0.10432484970988092,0.009439210030598687,0.8910581003350159,0.7249408361281735
34,4,2,0.10731334110741068,0.018793437370235016,0.8053534204329074,0.48049959976983153
35,4,3,0.15987757188211613,0.019541311127868492,0.881906272141332,0.6988385952568651
36,4,4,0.19576193148118162,0.035564728885521396,0.8388815638348801,0.5761263594209853
37,4,5,0.21888723537404534,0.03397687620383603,0.8473382552391959,0.6002459769813453
38,4,6,0.20827867145133058,0.008560607048136507,0.944561709143465,0.8775403009614658
39,4,7,0.19121444109035873,0.0034794351771834514,0.9607116689417884,0.9236021513148974
40,5,0,0.21707184202214985,0.006096258733532888,0.9655058753541553,0.9372758706979534
41,5,1,0.1988208830104894,0.04269011985846014,0.8169417485485064,0.5135510650473243
42,5,2,0.11275966746993989,0.0035709936590456763,0.9511109681374454,0.8962196655836558
43,5,3,0.2210737798150574,0.020659281019204053,0.9008868956151909,0.7529738778820567
44,5,4,0.2163348084512142,0.03878054545472936,0.8307314483281273,0.5528811374189959
45,5,5,0.12175076027643658,0.005963157826000688,0.9313820802588992,0.8399502325665179
46,5,6,0.16759074921751213,0.012800400097109936,0.9092524004558196,0.7768334191386208
47,5,7,0.09258472121695126,0.006159378911448567,0.92044611738565,0.8087594004140696
48,6,0,0.17901204107923385,0.009457923687292794,0.9423558025699502,0.8712487596974783
49,6,1,0.2321364900593005,0.03962696864133378,0.8423142064882239,0.5859167164367063
50,6,2,0.23497861801431574,0.01583981109144979,0.9154566064513358,0.7945286463525609
51,6,3,0.20670241418990745,0.0295165394295197,0.8381356523132304,0.5739989197668819
52,6,4,0.25038770020442036,0.0063982029998956,0.9636388837371079,0.9319509603235959
53,6,5,0.24044041084271733,0.025179991306181385,0.8992877862103673,0.7484130034883388
54,6,6,0.17416642290826442,0.005084856702771028,0.9534424575167403,0.9028693858449313
55,6,7,0.10794155121763466,0.007136520245222281,0.9131095364153807,0.7878344879698008
56,7,0,0.21268965615343005,0.04237841195040551,0.8215323486033171,0.526644071803855
57,7,1,0.2260998466060173,0.030802758551259513,0.8791381854897752,0.690943641046355
58,7,2,0.21740362663006513,0.05197974530281976,0.8000689560245993,0.465427598860034
