head_idx,layer,head_in_layer,avg_synergy,avg_redundancy,syn_rank,red_rank,syn_red_score
95,11,7,0.17032482867771556,0.15118493452103618,67,95,0.3333333333333333
96,12,0,0.17150997283005917,0.09882276565046708,70,20,0.746031746031746
97,12,1,0.22565506099972638,0.11958118818546995,127,45,0.9153439153439153
98,12,2,0.19682599001225173,0.10716186670397161,99,26,0.8677248677248677
99,12,3,0.21399450871044579,0.15904566874393536,118,110,0.5238095238095238
100,12,4,0.16553910124766194,0.16305129619904324,54,115,0.15873015873015872
101,12,5,0.22027181352812325,0.12348921339359716,124,55,0.8465608465608465
102,12,6,0.2098007167126475,0.15500123876138494,116,100,0.5661375661375662
103,12,7,0.20273810981863363,0.12017736375135557,110,47,0.8148148148148148
104,13,0,0.20223104736892802,0.08910894940932025,108,11,0.9947089947089947
105,13,1,0.1827650595985683,0.1391183188478219,79,72,0.5185185185185185
106,13,2,0.2081108750064246,0.10825117806061589,114,27,0.9417989417989417
107,13,3,0.19005502967838622,0.11569695465939916,90,33,0.783068783068783
108,13,4,0.21948812951150543,0.1352382774923117,122,70,0.7566137566137566
109,13,5,0.20571747265703985,0.14055363027691692,113,75,0.6825396825396826
110,13,6,0.2131298867921677,0.13274843614889129,117,67,0.746031746031746
111,13,7,0.21443173499535126,0.14876237899239728,119,92,0.6243386243386243
112,14,0,0.1807452040347183,0.12078852723057266,76,49,0.6243386243386243
113,14,1,0.20302177176598515,0.10945514249950485,111,28,0.9206349206349206
114,14,2,0.2222899843082049,0.1478518541200886,125,88,0.6772486772486772
115,14,3,0.20058476453572616,0.12161001064025295,104,51,0.7619047619047619
116,14,4,0.17672353926283027,0.14696908358781785,74,85,0.42328042328042326
117,14,5,0.21971624526494674,0.1895383474366106,123,127,0.4603174603174603
118,14,6,0.1915103445533222,0.06327827359336975,93,2,0.9629629629629629
119,14,7,0.24464984863228945,0.11477170706969655,128,30,1.0
120,15,0,0.1989312863437092,0.12372895050431787,102,56,0.7248677248677249
121,15,1,0.20959402715975253,0.15996683098319275,115,112,0.4973544973544973
122,15,2,0.20263712149195295,0.11939388662718327,109,44,0.8253968253968254
123,15,3,0.19335120975652442,0.1835573247218507,96,124,0.3333333333333333
124,15,4,0.20122621020216186,0.15582137058111725,105,103,0.49206349206349204
125,15,5,0.1870240655825331,0.11339408586430404,84,29,0.7724867724867724
126,15,6,0.19872221078543947,0.16591173250917673,101,117,0.3968253968253968
127,15,7,0.1977602547962908,0.1556005962416888,100,102,0.4708994708994709
