head_idx,layer,head_in_layer,avg_synergy,avg_redundancy,syn_balance,syn_red_score
0,0,0,0.049630039557662056,0.005477427511124973,0.8903390276360718,0.6742433508425755
1,0,1,0.01676799984868318,0.00238184817229536,0.8699779110440998,0.49425719616715896
2,0,2,0.013614079388933968,0.0020499798414033224,0.8646639731313337,0.44728358119951067
3,0,3,0.012927889994912147,0.002152635433240233,0.8539471776091356,0.35255032785506113
4,0,4,0.008090151551321796,0.0013850992115786562,0.8502519385003054,0.31988552409538945
5,0,5,0.013358685551377517,0.0019647423883663614,0.8663785880697559,0.46244026222540846
6,0,6,0.013280937628763818,0.0016780467658621433,0.8774146375294566,0.5599956244810532
7,0,7,0.00810989951449355,0.0015053433079417076,0.8422092166331565,0.24879027863312533
8,0,8,0.013723084821849932,0.0024590494686985947,0.8442012235308891,0.26639902125734666
9,0,9,0.014446831462187781,0.002143330916066787,0.86481041937039,0.448578121963784
10,0,10,0.01758254772875044,0.002409005206793793,0.8736210927515339,0.5264618281353004
11,0,11,0.012721157667292878,0.002102625774150236,0.8540491920643593,0.3534521049965096
12,0,12,0.011053629023400322,0.00169160162409562,0.86250523226795,0.42820096040187106
13,0,13,0.009847486926152478,0.0020281660923611535,0.8256974692045171,0.10283139110216033
14,0,14,0.01602697043617829,0.0021196737899435267,0.8781965188444026,0.5669072204465311
15,0,15,0.021061551975051263,0.0021892009501493256,0.8946250714687336,0.7121306908971603
16,0,16,0.011396064901885945,0.0017259749586016543,0.8645508314788483,0.44628344297661454
17,0,17,0.011166680245133693,0.001751289575695836,0.8598868308667963,0.4050550785214939
18,0,18,0.028804894627693815,0.0026358542374869233,0.9041317817605141,0.7961671542856875
19,0,19,0.014668185834300351,0.001977250257997891,0.874935145121122,0.5380776563722225
20,0,20,0.015265502781831076,0.0023776725174623134,0.8614416601112129,0.41879930200822413
21,0,21,0.010286268843548892,0.0018485840207830573,0.8449987315568884,0.2734487526546412
22,0,22,0.031174386280851007,0.002429951696023875,0.9174917290330211,0.9142650751626277
23,0,23,0.017807264905991074,0.0024268208470044545,0.8744245394278874,0.5335640554178964
24,0,24,0.030971453218127318,0.00341373326779734,0.8920776790673138,0.6896125072450076
25,0,25,0.007876396323115415,0.0012448015056121175,0.858499699101583,0.39279325037856644
26,0,26,0.014319909975936627,0.00215309662352777,0.8659015584031379,0.45822346326092916
27,0,27,0.01875187229375443,0.002833805512041679,0.8660274065679245,0.45933592323583256
28,0,28,0.03637218208803899,0.0028970118746434598,0.9102956160038984,0.8506535975272539
29,0,29,0.011085253421730255,0.0019568119666494538,0.8475623884209951,0.29611070927148625
30,0,30,0.013348992528152154,0.0018742731338898574,0.872245999905977,0.5143064204259289
31,0,31,0.011185227461911057,0.0018040131299940745,0.8569869176259468,0.3794207165377008
32,1,0,0.03383169662985826,0.003996233017971536,0.884897799961096,0.6261445326118262
33,1,1,0.03152669654883366,0.003444249916389532,0.8871209664461835,0.6457966565533956
34,1,2,0.01892195810878347,0.0025111450431789754,0.8763124363925815,0.5502524975062173
35,1,3,0.020551213849101396,0.002855684361812705,0.8710028802708022,0.5033176162547063
36,1,4,0.03377176997167631,0.003939091253811593,0.8838339068751342,0.6167400373002321
37,1,5,0.011903660312639865,0.0022794388242222377,0.836699055267026,0.20008210727861836
38,1,6,0.017377134050318047,0.002971339219640789,0.8476809976978532,0.29715917965149213
39,1,7,0.014095456765444193,0.0023830530545499947,0.8531974931195232,0.345923342154368
40,1,8,0.017552471412567487,0.0027106212050891816,0.8618456305316301,0.4223702791815569
41,1,9,0.014320306403110985,0.001899703150471859,0.8782170435585368,0.5670886527543386
42,1,10,0.012309136979634273,0.002248858041274707,0.8436706485840185,0.26170889809916964
43,1,11,0.013321360854846333,0.0019717236941521506,0.8666698424877667,0.46501486379468887
44,1,12,0.008989751054120813,0.0018399988939083302,0.8274677688835205,0.11848030850841712
45,1,13,0.02198192621583196,0.002406718404602395,0.8903839643176757,0.6746405776100389
46,1,14,0.011284547514893732,0.00205677678778724,0.8421758714958983,0.2484955176358533
47,1,15,0.012113413507532632,0.0018793227718662167,0.8608462992122627,0.41353649049383046
48,1,16,0.038671103357740454,0.003052271953717948,0.9154345325327072,0.8960800760330018
49,1,17,0.019152529715514826,0.00305456361134169,0.8601539818157189,0.40741661266414625
50,1,18,0.04198757599301207,0.005361145549890005,0.8772966774942482,0.5589528932022145
51,1,19,0.018001800037659964,0.00309533629468771,0.8512833586825479,0.32900296869219664
52,1,20,0.024367243917250155,0.0035799367930142573,0.8620605207376386,0.4242698440547392
53,1,21,0.05719399281006802,0.0053547912503965995,0.9012583043656336,0.7707664772395574
54,1,22,0.04387519949182301,0.004926580565214094,0.8875949312345301,0.6499863629145727
55,1,23,0.02811848659000675,0.004107135902700306,0.8647285834023527,0.44785471658792214
56,1,24,0.035424124243667046,0.0039128289976443804,0.8945827259552867,0.7117563692778794
57,1,25,0.05423522029327995,0.004956133811264304,0.9072033025575916,0.8233184755196872
